Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","340","Honduras","5910","Export quantity","01312","Bananas","1998","1998","t","467281","A","Official figure",""
"TCL","Crops and livestock products","340","Honduras","5910","Export quantity","01312","Bananas","1999","1999","t","112678","A","Official figure",""
"TCL","Crops and livestock products","340","Honduras","5910","Export quantity","01312","Bananas","2000","2000","t","374964","A","Official figure",""
"TCL","Crops and livestock products","340","Honduras","5910","Export quantity","01312","Bananas","2001","2001","t","428605","A","Official figure",""
"TCL","Crops and livestock products","340","Honduras","5910","Export quantity","01312","Bananas","2002","2002","t","441407","A","Official figure",""
"TCL","Crops and livestock products","340","Honduras","5910","Export quantity","01312","Bananas","2003","2003","t","453164","A","Official figure",""
"TCL","Crops and livestock products","340","Honduras","5910","Export quantity","01312","Bananas","2004","2004","t","571686","A","Official figure",""
"TCL","Crops and livestock products","340","Honduras","5910","Export quantity","01312","Bananas","2005","2005","t","545527","A","Official figure",""
"TCL","Crops and livestock products","591","Panama","5910","Export quantity","01312","Bananas","1994","1994","t","712248","A","Official figure",""
"TCL","Crops and livestock products","591","Panama","5910","Export quantity","01312","Bananas","1995","1995","t","690017","A","Official figure",""
"TCL","Crops and livestock products","591","Panama","5910","Export quantity","01312","Bananas","1996","1996","t","631953","A","Official figure",""
"TCL","Crops and livestock products","591","Panama","5910","Export quantity","01312","Bananas","1997","1997","t","608208","A","Official figure",""
"TCL","Crops and livestock products","591","Panama","5910","Export quantity","01312","Bananas","1998","1998","t","462415","A","Official figure",""
"TCL","Crops and livestock products","591","Panama","5910","Export quantity","01312","Bananas","1999","1999","t","593364","A","Official figure",""
"TCL","Crops and livestock products","591","Panama","5910","Export quantity","01312","Bananas","2000","2000","t","489284.08","A","Official figure",""
"TCL","Crops and livestock products","591","Panama","5910","Export quantity","01312","Bananas","2001","2001","t","426081","A","Official figure",""
"TCL","Crops and livestock products","591","Panama","5910","Export quantity","01312","Bananas","2002","2002","t","403923","A","Official figure",""
"TCL","Crops and livestock products","591","Panama","5910","Export quantity","01312","Bananas","2003","2003","t","385320","A","Official figure",""
